SN,Average
841,6
842,67.5
843,55
844,57.5
845,185
846,115
847,45
848,300
849,205
850,55
851,255
852,22.5
853,105
854,65
855,27.5
856,17.5
857,57.5
858,55
859,145
860,175
861,45
862,85
863,42.5
864,65
865,95
866,75
867,55
868,217.5
869,32.5
870,17.5
871,23.5
872,19
873,39
874,47.5
875,12
876,27.5
877,32.5
878,32.5
879,45
880,37.5
881,37.5
882,27.5
883,37.5
884,30
885,32.5
886,27.5
887,42.5
888,18
889,32.5
890,40
891,29
892,42.5
893,37.5
894,42.5
895,42.5
896,37.5
897,42.5
898,37.5
899,175
900,125
901,55
902,37.5
903,75
904,47.5
905,125
906,175
907,47.5
908,125
909,47.5
910,75
911,305
912,57.5
913,185
914,120
915,45
916,300
917,205
918,55
919,240
920,23.5
921,95
922,75
923,32.5
924,85
925,57.5
926,55
927,155
928,175
929,29
930,85
931,37.5
932,65
933,95
934,55
935,75
936,47.5
937,217.5
938,32.5
939,16
940,22.5
941,18.5
942,41
943,47.5
944,11
945,42.5
946,27.5
947,37.5
948,47.5
949,45
950,37.5
951,37.5
952,27.5
953,37.5
954,30
955,32.5
956,22.5
957,42.5
958,18
959,37.5
960,42.5
961,29
962,40
963,37.5
964,42.5
965,42.5
966,32.5
967,37.5
968,37.5
969,175
970,125
971,55
972,57.5
973,65
974,42.5
975,125
976,175
977,42.5
978,125
979,47.5
980,75
981,65
982,57.5
983,185
984,115
985,45
986,300
987,210
988,55
989,255
990,22.5
991,105
992,65
993,32.5
994,17.5
995,57.5
996,55
997,155
998,175
999,27.5
1000,95
1001,37.5
1002,65
1003,95
1004,55
1005,75
1006,55
1007,217.5
1008,32.5
1009,16
1010,23.5
1011,18.5
1012,41
1013,47.5
1014,14
1015,42.5
1016,27.5
1017,37.5
1018,47.5
1019,45
1020,37.5
1021,37.5
1022,27.5
1023,37.5
1024,32.5
1025,31
1026,27.5
1027,42.5
1028,18
1029,37.5
1030,42
1031,29
1032,42.5
1033,37.5
1034,42.5
1035,42.5
1036,37.5
1037,42.5
1038,37.5
1039,175
1040,125
1041,55
1042,55
1043,65
1044,37.5
1045,125
1046,175
1047,37.5
1048,125
1049,47.5
1050,75
1051,65
1052,57.5
1053,185
1054,105
1055,45
1056,300
1057,195
1058,55
1059,255
1060,22.5
1061,95
1062,65
1063,32.5
1064,17.5
1065,55
1066,55
1067,155
1068,175
1069,32.5
1070,95
1071,37.5
1072,55
1073,95
1074,55
1075,75
1076,55
1077,215
1078,32.5
1079,21
1080,23
1081,18.5
1082,41
1083,47.5
1084,14
1085,42.5
1086,32.5
1087,37.5
1088,47.5
1089,45
1090,37.5
1091,42.5
1092,37.5
1093,37.5
1094,42.5
1095,37.5
1096,32.5
1097,20
1098,37.5
1099,42.5
1100,32.5
1101,42.5
1102,37.5
1103,37.5
1104,37.5
1105,32.5
1106,37.5
1107,37.5
1108,175
1109,125
1110,55
1111,57.5
1112,65
1113,47.5
1114,125
1115,175
1116,47.5
1117,125
1118,47.5
1119,75
1120,65
1121,57.5
1122,185
1123,105
1124,45
1125,300
1126,205
1127,55
1128,255
1129,22.5
1130,95
1131,65
1132,32.5
1133,17.5
1134,55
1135,65
1136,155
1137,175
1138,32.5
1139,95
1140,37.5
1141,55
1142,95
1143,55
1144,75
1145,55
1146,230
1147,57.5
1148,22.5
1149,23.5
1150,19
1151,45
1152,37.5
1153,14
1154,42.5
1155,22.5
1156,39
1157,42.5
1158,42.5
1159,37.5
1160,42.5
1161,38.5
1162,42.5
1163,32.5
1164,42.5
1165,42.5
1166,19
1167,32.5
1168,37.5
1169,32.5
1170,37.5
1171,37.5
1172,42.5
1173,42.5
1174,37.5
1175,37.5
1176,37.5
1177,190
1178,125
1179,55
1180,57.5
1181,65
1182,37.5
1183,125
1184,175
1185,37.5
1186,125
1187,47.5
1188,6.5
1189,75
1190,65
1191,57.5
1192,175
1193,105
1194,45
1195,300
1196,210
1197,60
1198,255
1199,42.5
1200,95
1201,75
1202,32.5
1203,17.5
1204,55
1205,65
1206,155
1207,175
1208,45
1209,95
1210,37.5
1211,85
1212,95
1213,75
1214,75
1215,55
1216,215
1217,57.5
1218,32.5
1219,23.5
1220,19
1221,46
1222,37.5
1223,15
1224,42.5
1225,27.5
1226,42.5
1227,47.5
1228,42.5
1229,37.5
1230,47.5
1231,42.5
1232,37.5
1233,47.5
1234,32.5
1235,37.5
1236,42.5
1237,19
1238,32.5
1239,37.5
1240,32.5
1241,37.5
1242,37.5
1243,37.5
1244,37.5
1245,32.5
1246,37.5
1247,32.5
1248,190
1249,135
1250,55
1251,57.5
1252,65
1253,47.5
1254,125
1255,175
1256,47.5
1257,125
1258,47.5
1259,6.5
1260,75
1261,65
1262,57.5
1263,185
1264,115
1265,55
1266,400
1267,210
1268,75
1269,260
1270,42.5
1271,95
1272,55
1273,32.5
1274,17.5
1275,55
1276,55
1277,155
1278,175
1279,32.5
1280,95
1281,47.5
1282,95
1283,95
1284,75
1285,75
1286,215
1287,57.5
1288,35
1289,23.5
1290,19
1291,45
1292,37.5
1293,15
1294,65
1295,27.5
1296,37.5
1297,42.5
1298,37.5
1299,37.5
1300,47.5
1301,37.5
1302,37.5
1303,57.5
1304,37.5
1305,27.5
1306,42.5
1307,19
1308,52.5
1309,34
1310,32.5
1311,42.5
1312,37.5
1313,42.5
1314,42.5
1315,32.5
1316,37.5
1317,37.5
1318,190
1319,125
1320,55
1321,57.5
1322,65
1323,47.5
1324,125
1325,175
1326,42.5
1327,125
1328,6.5
1329,75
1330,65
1331,57.5
1332,175
1333,105
1334,55
1335,400
1336,195
1337,65
1338,255
1339,42.5
1340,95
1341,75
1342,32.5
1343,16.5
1344,55
1345,55
1346,155
1347,175
1348,35
1349,95
1350,47.5
1351,70
1352,95
1353,75
1354,65
1355,215
1356,75
1357,46
1358,23.5
1359,19.5
1360,45
1361,47.5
1362,14
1363,45
1364,22.5
1365,35
1366,42.5
1367,37.5
1368,32.5
1369,57.5
1370,37.5
1371,32.5
1372,37.5
1373,37.5
1374,27.5
1375,32.5
1376,19
1377,47.5
1378,32.5
1379,32.5
1380,39
1381,37.5
1382,42.5
1383,42.5
1384,32.5
1385,42.5
1386,42.5
1387,195
1388,125
1389,55
1390,57.5
1391,65
1392,47.5
1393,125
1394,175
1395,47.5
1396,125
1397,47.5
1398,6.5
1399,75
1400,65
1401,57.5
1402,175
1403,105
1404,55
1405,450
1406,205
1407,65
1408,255
1409,47.5
1410,95
1411,75
1412,32.5
1413,17.5
1414,47.5
1415,55
1416,165
1417,175
1418,32.5
1419,115
1420,47.5
1421,65
1422,90
1423,55
1424,55
1425,215
1426,77.5
1427,52.5
1428,24
1429,18.5
1430,45
1431,47.5
1432,15
1433,57.5
1434,22.5
1435,42.5
1436,47.5
1437,37.5
1438,32.5
1439,52.5
1440,32.5
1441,37.5
1442,40
1443,32.5
1444,27.5
1445,42.5
1446,19
1447,47.5
1448,36
1449,32.5
1450,42.5
1451,42.5
1452,42.5
1453,42.5
1454,32.5
1455,42.5
1456,42.5
1457,195
1458,125
1459,55
1460,57.5
1461,65
1462,47.5
1463,125
1464,175
1465,47.5
1466,125
1467,47.5
1468,6.5
1469,75
1470,57.5
1471,57.5
1472,175
1473,105
1474,45
1475,350
1476,205
1477,65
1478,255
1479,42.5
1480,95
1481,75
1482,32.5
1483,15
1484,47.5
1485,55
1486,165
1487,175
1488,37.5
1489,115
1490,47.5
1491,75
1492,90
1493,65
1494,55
1495,215
1496,77.5
1497,52.5
1498,23.5
1499,19.5
1500,45
1501,37.5
1502,15
1503,60
1504,22.5
1505,37.5
1506,45
1507,37.5
1508,57.5
1509,37.5
1510,32.5
1511,42.5
1512,32.5
1513,32.5
1514,32.5
1515,19
1516,37.5
1517,32.5
1518,32.5
1519,42.5
1520,37.5
1521,37.5
1522,32.5
1523,32.5
1524,37.5
1525,37.5
1526,210
1527,130
1528,55
1529,57.5
1530,65
1531,47.5
1532,125
1533,165
1534,47.5
1535,125
1536,7.5
1537,65
1538,65
1539,57.5
1540,175
1541,105
1542,45
1543,350
1544,205
1545,65
1546,255
1547,42.5
1548,95
1549,65
1550,32.5
1551,15.5
1552,52.5
1553,55
1554,165
1555,175
1556,35
1557,105
1558,47.5
1559,75
1560,87.5
1561,65
1562,55
1563,215
1564,85
1565,50
1566,23.5
1567,19.5
1568,47
1569,47.5
1570,15
1571,65
1572,22.5
1573,32.5
1574,42.5
1575,45
1576,42.5
1577,57.5
1578,42.5
1579,27.5
1580,42.5
1581,32.5
1582,30
1583,32.5
1584,19
1585,47.5
1586,37.5
1587,37.5
1588,42.5
1589,37.5
1590,37.5
1591,37.5
1592,27.5
1593,32.5
1594,37.5
1595,240
1596,130
1597,55
1598,57.5
1599,65
1600,47.5
1601,125
1602,175
1603,47.5
1604,125
1605,6.5
1606,75
1607,65
1608,65
1609,175
1610,105
1611,55
1612,350
1613,205
1614,365
1615,275
1616,47.5
1617,92.5
1618,65
1619,32.5
1620,17.5
1621,52.5
1622,55
1623,155
1624,175
1625,32.5
1626,95
1627,37.5
1628,85
1629,87.5
1630,65
1631,55
1632,215
1633,85
1634,49
1635,23.5
1636,18.5
1637,49
1638,47.5
1639,15
1640,55
1641,22.5
1642,42.5
1643,47.5
1644,45
1645,42.5
1646,57.5
1647,42.5
1648,25
1649,42.5
1650,30
1651,27.5
1652,32.5
1653,19
1654,42.5
