date,ncumul_conf
8767.0,2169.0
8768.0,10483.0
8799.0,1968.0
8800.0,33795.0
8831.0,2546.0
8832.0,46335.0
8863.0,13565.0
8864.0,27032.0
8895.0,21621.0
8896.0,14046.0
8927.0,67505.0
8928.0,31125.0
8959.0,1789.0
8960.0,13494.0
8991.0,9526.0
8992.0,3618.0
9023.0,21775.0
9024.0,14213.0
9055.0,1806.0
9056.0,13625.0
9087.0,3628.0
9088.0,9589.0
9119.0,87786.0
9120.0,
9151.0,10797.0
9152.0,5703.0
9183.0,3659.0
9184.0,28298.0
9215.0,15293.0
9216.0,9967.0
9247.0,27801.0
9248.0,2232.0
9279.0,14505.0
9280.0,2043.0
9311.0,32052.0
9312.0,2601.0
9343.0,14042.0
9344.0,37774.0
9375.0,14254.0
9376.0,28045.0
9407.0,28876.0
9408.0,70434.0
9439.0,1953.0
9440.0,1885.0
9471.0,6810.0
9472.0,3742.0
9503.0,1909.0
9504.0,
9535.0,22969.0
9536.0,14805.0
9567.0,38907.0
9568.0,54861.0
9599.0,91974.0
9600.0,
9631.0,11297.0
9632.0,5871.0
9663.0,35962.0
9664.0,29699.0
9695.0,50157.0
9696.0,2005.0
9727.0,16133.0
9728.0,10521.0
9759.0,15111.0
9760.0,2171.0
9791.0,33484.0
9792.0,2670.0
9823.0,14929.0
9824.0,40403.0
9855.0,16339.0
9856.0,2110.0
9887.0,24009.0
9888.0,15279.0
9919.0,40875.0
9920.0,56963.0
9951.0,29301.0
9952.0,2322.0
9983.0,15399.0
9984.0,2245.0
10015.0,52001.0
10016.0,2093.0
10047.0,7464.0
10048.0,10319.0
10079.0,
10080.0,12043.0
10111.0,34662.0
10112.0,2768.0
10143.0,58665.0
10144.0,7555.0
10175.0,11146.0
10176.0,946.0
10207.0,16075.0
10208.0,29912.0
10239.0,15861.0
10240.0,2339.0
10271.0,59436.0
10272.0,7700.0
10303.0,102462.0
10304.0,
10335.0,12467.0
10336.0,6264.0
10367.0,38844.0
10368.0,31703.0
10399.0,54404.0
10400.0,2214.0
10431.0,17430.0
10432.0,11705.0
10463.0,16253.0
10464.0,2419.0
10495.0,36156.0
10496.0,2908.0
10527.0,44723.0
10528.0,61311.0
10559.0,17674.0
10560.0,11935.0
10591.0,30871.0
10592.0,
10623.0,80281.0
10624.0,36492.0
10655.0,4374.0
10656.0,11218.0
10687.0,107530.0
10688.0,
10719.0,13006.0
10720.0,6507.0
10751.0,40347.0
10752.0,17074.0
10783.0,56402.0
10784.0,45881.0
10815.0,31299.0
10816.0,2654.0
10847.0,16888.0
10848.0,2555.0
10879.0,81801.0
10880.0,37153.0
10911.0,8183.0
10912.0,11515.0
10943.0,
10944.0,13169.0
10975.0,37275.0
10976.0,2990.0
11007.0,11580.0
11008.0,18399.0
11039.0,17861.0
11040.0,31758.0
11071.0,28038.0
11072.0,17172.0
11103.0,82803.0
11104.0,37498.0
11135.0,11738.0
11136.0,18564.0
11167.0,2644.0
11168.0,41624.0
11199.0,3209.0
11200.0,47203.0
11231.0,11818.0
11232.0,18642.0
11263.0,18031.0
11264.0,32101.0
11295.0,17309.0
11296.0,2684.0
11327.0,65003.0
11328.0,8347.0
11359.0,111449.0
11360.0,
11391.0,2768.0
11392.0,13431.0
11423.0,2698.0
11424.0,42356.0
11455.0,47539.0
11456.0,8371.0
11487.0,32336.0
11488.0,
11519.0,33132.0
11520.0,83986.0
11551.0,2551.0
11552.0,3250.0
11583.0,12123.0
11584.0,18874.0
