Timestamp,OutboundUtilzation (%)
9855.0,43.0421
9856.0,43.4268
9861.0,89.7775
9868.0,62.328
9887.0,98.1521
9888.0,87.2952
9898.0,33.3893
9905.0,92.4118
9911.0,36.0576
9919.0,61.6569
9920.0,52.0986
9937.0,11.5154
9951.0,78.0512
9952.0,89.4554
9973.0,42.6975
9976.0,86.4025
9983.0,41.7535
9984.0,39.7113
10000.0,78.7215
10015.0,56.618
10016.0,57.7287
10023.0,84.2855
10047.0,44.4115
10048.0,46.7706
10079.0,38.1617
10080.0,30.5216
10102.0,48.4659
10111.0,27.0247
10112.0,31.7938
10131.0,69.1087
10141.0,27.4577
10143.0,69.8494
10144.0,60.4213
10158.0,37.8869
10175.0,83.5118
10176.0,76.6691
10188.0,46.8008
10207.0,80.5565
10208.0,79.7864
10217.0,23.4072
10239.0,57.0847
10240.0,56.8471
10252.0,73.0286
10263.0,34.593
10265.0,77.8539
10271.0,43.4529
10272.0,54.6481
10283.0,35.1402
10288.0,99.2408
10303.0,59.124
10304.0,56.8454
10311.0,86.4819
10335.0,55.0167
10336.0,53.2478
10347.0,20.9253
10367.0,40.8903
10368.0,46.5247
10384.0,26.9142
10399.0,52.9759
10400.0,41.5371
10419.0,71.1935
10423.0,24.5828
10431.0,52.2591
10432.0,51.3189
10435.0,88.2675
10450.0,60.838
10463.0,93.3518
10464.0,89.6148
10478.0,62.0058
10484.0,93.3132
10491.0,57.9531
10495.0,84.5833
10496.0,79.2066
10510.0,11.4469
10527.0,85.5966
10528.0,70.6171
10537.0,91.2891
10546.0,48.4531
10549.0,91.7954
10559.0,61.2286
10560.0,72.9203
10574.0,99.7678
10591.0,29.9403
10592.0,25.2371
10596.0,89.6066
10607.0,18.8418
10608.0,45.9786
10623.0,32.6657
10624.0,32.2711
10636.0,17.3277
10655.0,48.8401
10656.0,49.646
10662.0,26.4002
10664.0,49.0301
10687.0,43.3816
10688.0,33.6343
10704.0,71.8557
10713.0,33.7976
10719.0,87.416
10720.0,66.4878
10732.0,26.5187
10741.0,93.9604
10751.0,39.013
10752.0,84.6031
10760.0,7.97079
10764.0,84.6234
10768.0,12.376
10783.0,66.2377
10784.0,62.7175
10787.0,98.4269
10796.0,79.1177
10809.0,99.756
10815.0,68.8576
10816.0,86.5848
10827.0,58.1961
10840.0,84.1433
10847.0,42.712
10848.0,42.9657
10853.0,99.0239
10864.0,58.4524
10876.0,95.0294
10879.0,68.4386
10880.0,63.9818
10911.0,17.8321
10912.0,13.114
10925.0,56.9682
10943.0,43.148
10944.0,35.8411
10956.0,15.6626
10960.0,44.8916
10962.0,15.1591
10966.0,60.7915
10975.0,31.6547
10976.0,28.6486
10984.0,77.5066
10991.0,11.257
11007.0,73.7173
11008.0,63.8865
11023.0,96.7651
11037.0,49.6031
11039.0,83.8495
11040.0,82.6456
11063.0,23.8875
11071.0,49.6813
11072.0,34.6708
11092.0,97.4092
11103.0,53.5853
11104.0,55.4633
11116.0,87.7964
11135.0,48.3909
11136.0,47.6365
11140.0,96.1042
11155.0,47.5434
11164.0,94.0028
11167.0,53.3259
11168.0,52.3579
11199.0,15.3574
11200.0,17.4902
11212.0,52.5814
11221.0,19.3139
11231.0,46.1562
11232.0,43.2356
11258.0,16.9583
11263.0,34.9077
11264.0,24.9572
11272.0,51.765
11282.0,13.306
11295.0,76.546
11296.0,72.5664
11306.0,54.2752
11322.0,86.9325
11324.0,63.8184
11327.0,93.184
11328.0,83.6246
11359.0,64.3438
11360.0,55.3903
11369.0,70.3556
11377.0,47.032
11380.0,86.8774
11391.0,62.3143
11392.0,75.5304
11413.0,34.9473
11423.0,48.6819
11424.0,46.6193
11428.0,87.1497
11455.0,44.945
11456.0,41.8639
11462.0,59.3373
11487.0,37.6308
11488.0,38.0933
11496.0,56.8608
11519.0,14.5984
11520.0,13.7941
11525.0,48.3542
11551.0,24.7457
11552.0,34.802
11559.0,65.1349
11567.0,21.2146
11583.0,73.4401
11584.0,73.4591
11603.0,51.1764
11611.0,99.7456
11615.0,69.4613
11616.0,63.1292
11621.0,83.0489
11647.0,49.5859
11648.0,53.8007
11670.0,85.5994
11679.0,69.4202
11680.0,71.3038
11697.0,86.3691
11700.0,52.8718
11711.0,71.7124
11712.0,71.5652
11737.0,39.4628
11739.0,72.2468
11743.0,44.6902
11744.0,39.2881
11752.0,67.9969
11775.0,39.8901
11776.0,55.7815
11807.0,27.9777
11808.0,25.9904
11820.0,63.2488
11831.0,29.1383
11839.0,56.479
11840.0,57.1033
11855.0,23.3737
11871.0,84.7431
11872.0,88.4319
11878.0,59.478
11895.0,98.7566
11901.0,50.778
11903.0,77.669
11904.0,91.7657
11935.0,65.3674
11936.0,54.7737
11953.0,97.1965
11967.0,65.8736
11968.0,64.2761
11977.0,93.0419
11996.0,52.7112
11999.0,85.0068
12000.0,88.3348
12002.0,48.2872
12013.0,66.2165
12019.0,40.074
12023.0,87.186
12031.0,54.9742
12032.0,53.6173
12063.0,49.8789
12064.0,39.4726
12071.0,74.2058
12082.0,58.0649
12088.0,84.8685
12095.0,63.7964
12096.0,61.9853
12121.0,33.2054
12127.0,59.3147
12128.0,56.4977
12139.0,37.0476
12159.0,89.0483
12160.0,84.0818
12175.0,52.4994
12180.0,99.0794
12191.0,74.8374
12192.0,81.2956
12204.0,64.2397
12206.0,93.2421
12223.0,37.2832
12224.0,40.0373
12228.0,88.3141
12236.0,51.9177
12255.0,92.9454
12256.0,90.2274
12274.0,46.0975
12287.0,65.1209
12288.0,72.5415
12307.0,24.0865
12311.0,83.4422
12319.0,20.6006
12320.0,21.4041
12323.0,41.4464
12351.0,16.1138
12352.0,14.7595
12361.0,44.8377
12381.0,19.2369
12383.0,42.6009
12384.0,41.4162
12386.0,71.3719
12415.0,24.0399
12416.0,18.3712
12419.0,78.3007
12422.0,39.8188
12436.0,92.3979
12447.0,71.428
12448.0,56.8441
12460.0,71.0769
12465.0,40.7349
12479.0,82.8005
12480.0,80.0427
12491.0,63.1861
12496.0,96.923
12511.0,41.0556
12512.0,41.1172
12520.0,89.9637
12523.0,38.3696
12526.0,96.0253
12543.0,90.2817
