SNo,Confirmed
5340.0,801.0
5359.0,320.0
5360.0,200.0
5379.0,82.0
5380.0,7.0
5399.0,86.0
5400.0,1.0
5419.0,5.0
5420.0,12.0
5439.0,46.0
5440.0,13.0
5459.0,17.0
5460.0,1.0
5479.0,8.0
5480.0,13.0
5499.0,1090.0
5500.0,1018.0
5519.0,340.0
5520.0,337.0
5539.0,140.0
5540.0,138.0
5559.0,93.0
5560.0,85.0
5579.0,49.0
5580.0,47.0
5599.0,30.0
5600.0,29.0
5619.0,19.0
5620.0,19.0
5639.0,11.0
5640.0,10.0
5659.0,6.0
5660.0,6.0
5679.0,3.0
5680.0,3.0
5699.0,1.0
5700.0,1.0
5719.0,1.0
5720.0,1.0
5739.0,24747.0
5740.0,13938.0
5759.0,839.0
5760.0,760.0
5779.0,253.0
5780.0,331.0
5799.0,129.0
5800.0,125.0
5819.0,75.0
5820.0,75.0
5839.0,48.0
5840.0,46.0
5859.0,37.0
5860.0,28.0
5879.0,18.0
5880.0,18.0
5899.0,10.0
5900.0,10.0
5919.0,6.0
5920.0,12.0
5939.0,3.0
5940.0,2.0
5959.0,1.0
5960.0,1.0
5979.0,1.0
5980.0,1.0
5999.0,27980.0
6000.0,14991.0
6019.0,914.0
6020.0,904.0
6039.0,288.0
6040.0,253.0
6059.0,155.0
6060.0,155.0
6079.0,103.0
6080.0,99.0
6099.0,56.0
6100.0,55.0
6119.0,39.0
6120.0,39.0
6139.0,24.0
6140.0,23.0
6159.0,17.0
6160.0,17.0
6179.0,8.0
6180.0,8.0
6199.0,5.0
6200.0,5.0
6219.0,2.0
6220.0,2.0
6239.0,1.0
6240.0,1.0
6259.0,1.0
6260.0,1.0
6279.0,2700.0
6280.0,1950.0
6299.0,673.0
6300.0,631.0
6319.0,246.0
6320.0,238.0
6339.0,168.0
6340.0,162.0
6359.0,103.0
6360.0,98.0
6379.0,67.0
6380.0,67.0
6399.0,47.0
6400.0,47.0
6419.0,30.0
6420.0,29.0
6439.0,21.0
6440.0,21.0
6459.0,11.0
6460.0,10.0
6479.0,7.0
6480.0,7.0
6499.0,3.0
6500.0,3.0
6519.0,1.0
6520.0,1.0
6539.0,1.0
6540.0,1.0
6559.0,2495.0
6560.0,2051.0
6579.0,576.0
6580.0,540.0
6599.0,267.0
6600.0,260.0
6619.0,181.0
6620.0,176.0
6639.0,116.0
6640.0,113.0
6659.0,81.0
6660.0,79.0
6679.0,51.0
6680.0,51.0
6699.0,35.0
6700.0,35.0
6719.0,24.0
