date,value
01/01/2020,45.72
01/01/2020,48.36
01/01/2020,56.04
01/01/2020,60.39
01/01/2020,79.51
01/01/2020,82.05
01/01/2020,85.24
01/01/2020,69.1
01/01/2020,72.77
01/01/2020,53.72
01/01/2020,78.3
01/01/2020,85.32
01/01/2020,54.08
01/01/2020,61.79
01/01/2020,75.73
01/01/2020,69.01
01/01/2020,66.44
01/01/2020,72.11
01/01/2020,69.13
01/01/2020,72.29
01/01/2020,60.46
01/01/2020,69.36
01/01/2020,60.58
01/01/2020,49.78
01/01/2020,66.86
01/01/2020,82.98
01/01/2020,50.42
01/01/2020,57.25
01/01/2020,61.26
01/01/2020,63.13
01/01/2020,73.36
01/01/2020,65.4
01/01/2020,54.73
01/01/2020,61.12
01/01/2020,58.69
01/01/2020,72.31
01/01/2020,65.69
01/01/2020,58.12
01/01/2020,70.08
01/01/2020,72.86
01/01/2020,83.19
01/01/2020,71.5
01/01/2020,64.41
01/01/2020,50.85
01/01/2020,58.36
01/01/2020,53.36
01/01/2021,7.54
01/01/2021,20.48
01/01/2021,18.16
01/01/2021,19.05
01/01/2021,16.13
01/01/2021,16.53
01/01/2021,11.82
01/01/2021,5.38
01/01/2021,5.83
01/01/2021,7.81
01/01/2021,5.52
01/01/2021,0
01/01/2021,4.82
01/01/2021,16.89
01/01/2021,12.86
01/01/2021,3.38
01/01/2021,8.62
01/01/2021,20.38
01/01/2021,10.62
01/01/2021,0.92
01/01/2021,0
01/01/2021,1.23
01/01/2021,28.56
01/01/2021,24.02
01/01/2021,7.04
01/01/2021,19.81
01/01/2021,2.45
01/01/2021,22.52
01/01/2021,15.33
01/01/2021,10.31
01/01/2021,12.48
01/01/2021,19.4
01/01/2021,15.14
01/01/2021,25.73
01/01/2021,10.57
01/01/2021,4.21
01/01/2021,11.36
01/01/2021,8.45
01/01/2021,5.57
01/01/2021,17.49
01/01/2021,12.88
01/01/2021,22.97
01/01/2021,20.75
01/01/2021,23.34
01/01/2021,23.62
01/01/2021,13.18
01/01/2021,28.52
01/01/2021,19.43
01/01/2021,16.81
01/01/2021,11
01/01/2021,23.98
01/01/2021,20.96
01/01/2021,13.48
01/01/2021,16.39
01/01/2021,23.25
01/01/2021,17.25
01/01/2021,10.52
01/01/2021,20.19
01/01/2021,22.88
01/01/2021,19.51
01/01/2021,26.15
01/01/2021,31.58
01/01/2021,30.33
01/01/2021,15.38
01/01/2021,19.93
01/01/2021,30.32
01/01/2021,9.13
01/01/2021,30.18
01/01/2021,24.48
01/01/2021,12.74
01/01/2021,16.93
01/01/2021,18.31
01/01/2021,30.53
01/01/2021,16.81
01/01/2021,28.22
01/01/2021,26.61
01/01/2021,4.73
01/01/2022,26.34
01/01/2022,38.59
01/01/2022,45.43
01/01/2022,37.38
01/01/2022,35.66
01/01/2022,38.83
01/01/2022,33.27
01/01/2022,22.74
01/01/2022,33.81
01/01/2022,24.17
01/01/2022,24.74
01/01/2022,24.3
01/01/2022,29.47
01/01/2022,48.44
01/01/2022,57.17
