date,ncumul_conf
29/03/2020,62
29/03/2020,2603
29/03/2020,37
29/03/2020,190
29/03/2020,485
29/03/2020,48
29/03/2020,1837
29/03/2020,101
29/03/2020,605
29/03/2020,350
29/03/2020,1720
30/03/2020,603
30/03/2020,479
30/03/2020,51
30/03/2020,535
30/03/2020,123
30/03/2020,378
30/03/2020,63
30/03/2020,433
30/03/2020,42
30/03/2020,135
30/03/2020,158
30/03/2020,53
30/03/2020,3605
30/03/2020,1118
30/03/2020,64
30/03/2020,2816
30/03/2020,46
30/03/2020,935
30/03/2020,506
30/03/2020,1962
30/03/2020,112
30/03/2020,617
30/03/2020,371
30/03/2020,14
30/03/2020,1846
30/03/2020,50
31/03/2020,633
31/03/2020,493
31/03/2020,53
31/03/2020,547
31/03/2020,132
31/03/2020,402
31/03/2020,70
31/03/2020,469
31/03/2020,44
31/03/2020,140
31/03/2020,169
31/03/2020,57
31/03/2020,3764
31/03/2020,1185
31/03/2020,68
31/03/2020,3061
31/03/2020,47
31/03/2020,196
31/03/2020,554
31/03/2020,1008
31/03/2020,2091
31/03/2020,114
31/03/2020,653
31/03/2020,383
31/03/2020,14
31/03/2020,1934
31/03/2020,58
01/04/2020,651
01/04/2020,527
01/04/2020,56
01/04/2020,592
01/04/2020,140
01/04/2020,420
01/04/2020,70
01/04/2020,491
01/04/2020,44
01/04/2020,146
01/04/2020,185
01/04/2020,59
01/04/2020,3916
01/04/2020,1254
01/04/2020,72
01/04/2020,3240
01/04/2020,49
01/04/2020,216
01/04/2020,596
01/04/2020,1065
01/04/2020,2195
01/04/2020,125
01/04/2020,687
01/04/2020,408
01/04/2020,2123
01/04/2020,61
02/04/2020,669
02/04/2020,552
02/04/2020,58
02/04/2020,622
02/04/2020,144
02/04/2020,430
02/04/2020,76
02/04/2020,513
02/04/2020,47
02/04/2020,155
02/04/2020,197
02/04/2020,4050
02/04/2020,1301
02/04/2020,75
02/04/2020,3528
02/04/2020,51
02/04/2020,227
02/04/2020,631
02/04/2020,1107
02/04/2020,2271
02/04/2020,131
02/04/2020,714
02/04/2020,64
02/04/2020,60
02/04/2020,2287
02/04/2020,20
03/04/2020,690
03/04/2020,590
03/04/2020,59
03/04/2020,649
03/04/2020,145
03/04/2020,444
03/04/2020,79
03/04/2020,545
03/04/2020,47
03/04/2020,165
03/04/2020,209
03/04/2020,4185
03/04/2020,1351
03/04/2020,76
03/04/2020,3737
03/04/2020,56
03/04/2020,237
03/04/2020,673
03/04/2020,65
03/04/2020,1170
03/04/2020,2377
03/04/2020,138
03/04/2020,754
03/04/2020,20
03/04/2020,450
03/04/2020,62
03/04/2020,2415
04/04/2020,705
04/04/2020,640
04/04/2020,61
04/04/2020,657
04/04/2020,149
04/04/2020,452
04/04/2020,80
04/04/2020,554
04/04/2020,47
04/04/2020,168
04/04/2020,215
04/04/2020,4257
04/04/2020,1384
04/04/2020,77
04/04/2020,3869
04/04/2020,56
04/04/2020,250
04/04/2020,702
04/04/2020,1210
04/04/2020,2442
04/04/2020,146
04/04/2020,767
04/04/2020,21
04/04/2020,470
04/04/2020,66
04/04/2020,2448
05/04/2020,715
05/04/2020,671
05/04/2020,63
05/04/2020,668
05/04/2020,155
05/04/2020,463
05/04/2020,80
05/04/2020,560
05/04/2020,49
05/04/2020,170
05/04/2020,220
05/04/2020,4296
05/04/2020,1399
05/04/2020,77
05/04/2020,3952
05/04/2020,56
05/04/2020,258
05/04/2020,736
05/04/2020,1224
05/04/2020,2508
05/04/2020,146
05/04/2020,789
05/04/2020,480
05/04/2020,67
05/04/2020,2478
06/04/2020,733
06/04/2020,691
06/04/2020,63
06/04/2020,679
06/04/2020,157
06/04/2020,485
06/04/2020,86
06/04/2020,596
06/04/2020,50
06/04/2020,178
06/04/2020,4415
06/04/2020,1467
06/04/2020,77
06/04/2020,4075
06/04/2020,60
06/04/2020,261
06/04/2020,763
06/04/2020,69
06/04/2020,1295
06/04/2020,2546
06/04/2020,152
06/04/2020,798
06/04/2020,229
06/04/2020,21
06/04/2020,495
06/04/2020,67
06/04/2020,2592
07/04/2020,754
07/04/2020,732
07/04/2020,63
07/04/2020,684
07/04/2020,163
07/04/2020,509
07/04/2020,87
07/04/2020,620
07/04/2020,185
07/04/2020,4495
07/04/2020,1505
07/04/2020,78
07/04/2020,4245
07/04/2020,60
07/04/2020,264
07/04/2020,793
07/04/2020,69
07/04/2020,1347
07/04/2020,2599
07/04/2020,157
07/04/2020,808
07/04/2020,50
07/04/2020,250
07/04/2020,21
07/04/2020,503
07/04/2020,68
07/04/2020,2675
08/04/2020,769
08/04/2020,759
08/04/2020,64
08/04/2020,698
08/04/2020,168
08/04/2020,513
08/04/2020,93
08/04/2020,633
08/04/2020,196
08/04/2020,4586
08/04/2020,1542
08/04/2020,78
08/04/2020,4376
08/04/2020,61
08/04/2020,276
08/04/2020,832
08/04/2020,72
08/04/2020,1406
08/04/2020,2659
08/04/2020,162
08/04/2020,53
08/04/2020,829
08/04/2020,262
08/04/2020,23
08/04/2020,514
08/04/2020,2769
09/04/2020,778
09/04/2020,789
09/04/2020,67
09/04/2020,719
09/04/2020,172
09/04/2020,545
